Position; Velocity; Acceleration; Pitch; Roll; Heading; LeftWingInclination; rightWingInclination; horStabInclination; verStabInclination; LliftX; LliftY; LliftZ; RliftX; RliftY; RliftZ; horLiftX; horLiftY; horLiftZ; verLiftX; verLiftY; verLiftZ; momentX; momentY; momentZ
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.1405163
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.1927764
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.2401211
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.290436
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.3401058
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.3908174
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.4409668
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.49066
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.5404863
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.5898652
